,x,y,v,Subtypes,colors,scatter_x,scatter_y,avg_imp,fold_00_imp,fold_01_imp,fold_02_imp,fold_03_imp,fold_04_imp,fold_05_imp,fold_06_imp,fold_07_imp,fold_08_imp,fold_09_imp
235,15,10,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae,cluster_08,#ff00bd,1.9421663,-1.1304271,-0.14266371680555148,-0.11586865095693696,-0.15776238345474997,-0.1110334651623629,-0.14900171010693375,-0.15321006667576678,-0.21786209063257644,-0.06954108943080098,-0.22708007196161464,-0.110054478431483,-0.11522316124228944
236,16,10,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,cluster_08,#ff00bd,2.4228244,-1.2007325,-0.1419937459672361,-0.11504332578907653,-0.15746653433321758,-0.11087340372854175,-0.14804155979906117,-0.15270042658623403,-0.21524537458297954,-0.06943782570858716,-0.22637811614946804,-0.10985533114315348,-0.11489556185204164
237,17,10,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,cluster_08,#ff00bd,2.9634042,-1.2745811,-0.13881462517986015,-0.11337982256006546,-0.1543468535765164,-0.11029711310922644,-0.14297030103149355,-0.14919802144517033,-0.21002058968361928,-0.068920967594419,-0.21809149511109008,-0.10820370187554014,-0.1127173858114609
238,18,10,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_unclassified,cluster_01,#ffa500,3.5417295,-1.505392,-0.14260687388494314,-0.11586528421565037,-0.15767084856906252,-0.1110222268711789,-0.14896760638671214,-0.15321536493483834,-0.21789733662957106,-0.06954020013037922,-0.22692519887838966,-0.10973874844096013,-0.11522592379268924
239,19,10,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii,cluster_01,#ffa500,3.552255,-1.5060393,-0.1424963482136064,-0.11584770417170191,-0.157538244010091,-0.11096498388863277,-0.14873859135494572,-0.15304944934241146,-0.2174910891301756,-0.06951322397521861,-0.22691608482325018,-0.10977835146362369,-0.1151257599760132
240,20,10,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_oral_taxon_082,cluster_07,#9b00ff,5.389658,-1.9561399,-0.14251597886114611,-0.11576469262124651,-0.15770332149662683,-0.11071583597033961,-0.14866301339373122,-0.15315843587799174,-0.21757756167682255,-0.06947586875011229,-0.22706184784767133,-0.1099135272178579,-0.11512568375906108
241,21,10,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,cluster_07,#9b00ff,5.4868555,-2.0141976,-0.1423345821596133,-0.11576408047845008,-0.15752052771150954,-0.11066196054485057,-0.14866877409312423,-0.15309676321451213,-0.21735784483687404,-0.06945311712686135,-0.22608219293598317,-0.10980378523833949,-0.11493677541562883
242,0,11,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,cluster_07,#9b00ff,-3.0449052,-2.1531773,-0.10357490016382612,-0.09172475641069694,-0.09634468766569765,-0.09629760322606827,-0.08708991541633075,-0.11529218729315792,-0.14673690058716266,-0.06521397830389188,-0.16395587555380628,-0.08734168286167993,-0.08575141431976878
243,1,11,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,cluster_07,#9b00ff,-2.74171,-1.97852,-0.11214877135305905,-0.09473757697935971,-0.14083182145951617,-0.10330742283300531,-0.1379451077760796,-0.13455689650430366,-0.05976510955491998,-0.06398653098839062,-0.18597850454501327,-0.09846310997085525,-0.101915632919147
244,2,11,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,cluster_08,#ff00bd,-2.3640993,-1.7084125,0.12657064194798895,0.08338957519742651,0.1860205849267993,-0.015665618395368147,0.09828943608262125,0.2202476407418094,0.1858875280180394,-0.006290963748517598,0.19354021470611063,0.3141345520908991,0.0061534698600696925
245,3,11,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11,cluster_08,#ff00bd,-1.9276211,-1.3760203,-0.018072441965957815,-0.006833514367204716,-0.010814974779835037,-0.05975095609571882,-0.03383874592250714,-0.018739297157595154,0.01674452075838597,-0.04471590348151331,0.06240323268779158,-0.047527503621340686,-0.037651277680040875
246,4,11,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,cluster_08,#ff00bd,-1.9062897,-1.4180288,0.008227978160939748,0.0024958022978806595,0.01195412748016919,-0.067481917171775,0.04644220407492794,-0.0320644973293766,0.1471535893462108,-0.04325277966788429,0.10554333535703118,-0.02757545191901275,-0.06093463085877369
247,5,11,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,cluster_02,#b3ff00,-1.3495196,-1.4881262,0.3600016719126699,0.4309075032735936,0.40869590109152065,-0.05296624107884727,0.7482041607242883,0.4625002179282958,0.24352752270519654,0.06765957346571251,0.9798187058373037,0.33769552711382944,-0.026026151934194625
248,6,11,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis,cluster_05,#00b5ff,-1.254189,-1.3960439,-0.0522077177857173,-0.05192543647645151,-0.061560992116345394,-0.07676206319686377,-0.05327912640205107,-0.04487525519564618,-0.05096389793438295,-0.0545364801239568,-0.0010292244205825335,-0.06271060173989881,-0.0644341002509941
249,7,11,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified,cluster_03,#08ff00,-0.35476136,-1.0280746,-0.12126143912239518,-0.09257528295561594,-0.14369673112290252,-0.09866817539372073,-0.13404765039109123,-0.11112438990576166,-0.21623431137323165,-0.06692874033041812,-0.14019778576549682,-0.10412763464194943,-0.10501368934376369
250,8,11,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_lwoffii,cluster_05,#00b5ff,-0.09916854,-1.349399,-0.11475500540713932,-0.10710818786395634,-0.15776696014174732,-0.10758823149926135,-0.14216932834964044,-0.14299517940431214,-0.09302617800913479,-0.05876090408769262,-0.12120773398990602,-0.10570507364120495,-0.11122227708453718
251,9,11,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified,cluster_05,#00b5ff,-0.037891585,-1.3192853,-0.11142788244520414,-0.09069261571059282,-0.13501099219778379,-0.08626364337328349,-0.09327565752384577,-0.1282765486122903,-0.16123057390448936,-0.06555937924460532,-0.166421950801267,-0.08080961429099363,-0.10673784879289001
252,10,11,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_unclassified,cluster_02,#b3ff00,0.23264915,-1.0825723,-0.12405319437402476,-0.1009319284491627,-0.1440075071031879,-0.1029449094013099,-0.1280146895585174,-0.13180593947796213,-0.17386557915294476,-0.06743123053075234,-0.18380012493560854,-0.09963669355566869,-0.10809334157513327
253,11,11,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,cluster_02,#b3ff00,0.48269123,-1.271151,-0.11672384689476037,-0.1069434476676631,-0.13896036870775808,-0.10707005910000518,-0.11303178519876107,-0.12010010167409875,-0.17977121783233058,-0.0626792849043214,-0.14675355372371807,-0.09857279919605452,-0.09335585094289285
254,12,11,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,cluster_02,#b3ff00,0.59218276,-1.232207,-0.07033994703583388,-0.10332506609826367,-0.13223314784602802,-0.06680262178921419,-0.10497524624024565,-0.0963493620438683,0.05957288197435476,-0.061456388044071664,-0.1689162538793817,-0.08904648957259574,0.0601322231809756
