,x,y,v,Subtypes,colors,scatter_x,scatter_y,avg_imp,fold_00_imp,fold_01_imp,fold_02_imp,fold_03_imp,fold_04_imp,fold_05_imp,fold_06_imp,fold_07_imp,fold_08_imp,fold_09_imp
212,2,10,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,cluster_03,#00fff6,1.2671521,4.4699225,0.18148288867034937,0.13689707107422439,0.14503649337552138,0.22689055913454517,0.06381210575163457,0.20572766590756328,-0.011582747463287841,-0.00018900519040856146,0.8493912749046639,0.0779667705249163,0.12087869868412111
213,3,10,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,cluster_03,#00fff6,1.3784021,4.4710226,0.016100574393399826,0.08131431696847807,-0.0008225079925358674,0.03247783389554423,-0.037914420363241184,0.023925314221782488,-0.07165411968260559,-0.002038106696505138,0.1533891928155227,0.004153524320489485,-0.021825283552930938
214,4,10,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila,cluster_03,#00fff6,2.1744068,4.4242363,2.9265495992741224,2.5567588896887004,3.5798087457039527,3.5241161726055825,2.1559796583714093,2.907611475141417,2.095137449927495,2.193886189324706,2.849725059180571,2.7335567404578853,4.668915612339508
215,5,10,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,cluster_03,#00fff6,2.209483,4.416024,0.668457107372458,0.7999983457429221,0.7891951041625713,0.920392646019733,0.5202762282230168,0.6039694286391565,0.5142920323128836,0.3788090531887896,0.7178959794696043,1.117828025077845,0.3219142308880574
216,6,10,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,cluster_03,#00fff6,2.2138186,4.4177175,9.376120193771941,10.500018249830005,8.78733003486386,11.190726752102702,10.009857720060845,8.870932120238,9.696187816788338,8.118926259468601,10.326463990909966,9.762105220715476,6.498653772741605
217,7,10,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,cluster_03,#00fff6,2.4478283,4.607493,9.928851742192062,7.955857834967497,11.010694439724093,4.360094146715077,11.65013403489241,10.678184732008665,10.751969643471712,14.330764179637027,12.594824140693554,10.274063028838555,5.681931240972026
218,8,10,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella|s__Riemerella_unclassified,cluster_03,#00fff6,2.817467,4.3789153,-0.33472770277080705,-0.3679950772727157,-0.3316607902669453,-0.38341385329433925,-0.31508916216026694,-0.37097501605817523,-0.34447745409733316,-0.2716368099042824,-0.3187347466424714,-0.365034581771695,-0.2782595362398468
219,9,10,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus_unclassified,cluster_05,#ee00ff,3.4815512,4.1935263,-0.33004370663508087,-0.3608276612675375,-0.3288633395409689,-0.37943106744265204,-0.3114021309215923,-0.3694325212514383,-0.3444808194069481,-0.27147034205571785,-0.3059390219986978,-0.354348046190849,-0.2742421162744069
220,10,10,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_D6,cluster_05,#ee00ff,3.517516,4.233114,-0.3341918768318263,-0.36645878138803895,-0.3319199924718559,-0.3853032473852732,-0.31423076474973405,-0.3708898932203502,-0.3444809058414304,-0.27201084040914913,-0.31798071000153233,-0.36250669832012183,-0.2761369345307775
221,11,10,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,cluster_03,#00fff6,4.0678005,4.4166265,1.2015471378424585,1.6393952563461005,1.0505598922277886,1.9061011355610584,0.7028902020993414,1.6808972411140903,1.8048891838197414,0.6203004565015741,0.9769392752212397,1.494416248992028,0.13908248654162264
222,12,10,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,cluster_03,#00fff6,4.203787,4.4884815,-0.05035446248127266,-0.08785860226345554,-0.04935761317224075,-0.061439941385926046,-0.05308538933770993,-0.03362085077596673,-0.10008558787400043,-0.033361500111148704,0.046785125091357356,-0.03494944503266247,-0.09657081995097343
223,13,10,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_unclassified,cluster_05,#ee00ff,4.8413267,4.7300696,0.010531417409175495,-0.03926388703545866,-0.08572148179854454,0.12281558463015761,-0.07106094233093979,0.1076014071597272,0.07983821400867465,-0.04320877305518932,-0.029292262236496173,0.040973445991682574,0.02263286875814139
224,14,10,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella|s__Shigella_flexneri,cluster_05,#ee00ff,5.1964593,4.703262,-0.31689361022915236,-0.35596052673968775,-0.30428538523436205,-0.34814071488480763,-0.29674097223521634,-0.34719728512246983,-0.3445767827256688,-0.26336765906556997,-0.2990016088936702,-0.34427801215406545,-0.265387155236006
225,15,10,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,cluster_05,#ee00ff,5.2081714,4.499175,-0.23930818314779967,-0.2489338040975658,-0.21646779370422137,-0.26607076513696926,-0.2450276529706689,-0.27442267756168215,-0.2430585583802511,-0.21395346530359155,-0.21221905950429557,-0.2570448436277549,-0.21588321119099593
226,16,10,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_scindens,cluster_01,#fcf500,6.6193247,4.390626,-0.24827613571745316,-0.2556819071157952,-0.2352617622034298,-0.28035945479022367,-0.23732196094611854,-0.2633710788262824,-0.2141035121160934,-0.2459277517404959,-0.2243538740953832,-0.27744472660386044,-0.24893532873684937
227,17,10,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccae,cluster_03,#00fff6,7.685432,4.240844,-0.31972413395053195,-0.34990547986871406,-0.31291153429181756,-0.3643660301048976,-0.3044257202524788,-0.3512277072110536,-0.3251421595311591,-0.2722179187533356,-0.30674420809508074,-0.34284823125909086,-0.2674523501376909
228,18,10,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_pentosaceus,cluster_03,#00fff6,7.859475,4.223316,-0.3347745439150239,-0.367701573148633,-0.3316652437374784,-0.38367467357746204,-0.3151310775201031,-0.3709332000953838,-0.3444710810548337,-0.27187464215098156,-0.31879604787325794,-0.36521635550337506,-0.2782815444887304
