,auc,mcc,pres,recall,f1,i,repeat_seed
75,0.681,0.355,0.727,0.72,0.685,7.0,2048.0
76,0.694,0.393,0.805,0.72,0.656,7.0,2048.0
77,0.535,-0.021,0.527,0.6,0.532,7.0,2048.0
78,0.708,0.272,0.787,0.68,0.584,7.0,2048.0
79,0.632,-0.221,0.39,0.56,0.459,7.0,2048.0
80,0.673,0.243,0.686,0.692,0.638,8.0,4096.0
81,0.614,0.397,0.809,0.731,0.668,8.0,4096.0
82,0.49,0.0,0.428,0.654,0.517,8.0,4096.0
83,0.463,-0.14,0.453,0.64,0.531,8.0,4096.0
84,0.521,-0.327,0.366,0.48,0.415,8.0,4096.0
85,0.486,0.086,0.597,0.64,0.558,8.0,4096.0
86,0.667,0.236,0.676,0.68,0.625,8.0,4096.0
87,0.688,-0.153,0.4,0.6,0.48,8.0,4096.0
88,0.632,0.0,0.41,0.64,0.5,8.0,4096.0
89,0.583,0.275,0.668,0.68,0.669,8.0,4096.0
90,0.641,0.093,0.609,0.654,0.573,9.0,8192.0
91,0.667,0.243,0.686,0.692,0.638,9.0,8192.0
92,0.458,-0.146,0.418,0.615,0.498,9.0,8192.0
93,0.566,0.0,0.462,0.68,0.55,9.0,8192.0
94,0.694,0.272,0.787,0.68,0.584,9.0,8192.0
95,0.66,0.0,0.41,0.64,0.5,9.0,8192.0
96,0.722,0.272,0.787,0.68,0.584,9.0,8192.0
97,0.771,0.0,0.41,0.64,0.5,9.0,8192.0
98,0.771,0.272,0.787,0.68,0.584,9.0,8192.0
99,0.535,-0.221,0.39,0.56,0.459,9.0,8192.0
